Placement,Name,Score,Time
521,brandonlheath,3480695,34:09.1
522,hakka17,3490920,28:04.1
523,thunderbloons,3501155,35:41.7
524,PurpleDolphin29,3502125,40:11.8
525,Glaarbacious,3519165,31:57.4
526,migo,3526040,20:42.5
527,MinhSubnautica,3535340,26:25.4
528,OliveKnight1678,3541205,30:49
529,Bigboibiscut,3546095,27:36.2
530,SwanHeartX,3547235,40:23.4
531,Potato,3559660,39:40.8
532,mantismanc5,3562310,36:34.2
533,Felipe,3573185,35:22.1
534,Wade,3577215,32:27.6
535,Player4828973,3585725,27:44.1
536,canary151,3598180,15:52
537,mtjwd,3603140,35:54.5
538,Redmistic,3608470,26:18.4
539,063828283,3611930,22:46.3
540,BigSwampOwner,3624450,29:06.8
541,Enyo,3628915,38:47.3
542,ThursREE,3629330,37:11.4
543,KrenziPL,3637535,27:39.4
544,C0w KillEr,3647615,33:34.7
545,mtt67,3648075,36:34.8
546,asdf123456,3652915,18:43.6
547,moses9911,3655170,37:19.4
548,Radley Heeler,3663935,32:53.6
549,inphi,3671590,37:18.4
550,Sorakie,3678860,43:15.6
551,BreadyTorus,3679185,29:43.7
552,GP23,3689660,72:38.6
553,Mystic <3,3694370,35:18
554,Dphiuhpiaru,3699380,30:53.6
555,Ranger,3700565,45:34.9
556,lqtttttt,3703655,35:25.2
557,iloscar,3704510,28:27.8
558,Unlocked,3711275,31:20.4
559,Jeremy,3718335,38:33.4
560,Kayl0,3745645,27:07.8
561,Xmucasx,3749525,29:38
562,9ZB6,3749555,26:50.1
563,Cowking22,3751495,30:59
564,Player2251757,3752160,40:40.3
565,Anonymous,3753590,28:01.3
566,Leo,3755555,21:39.8
567,YoguretZ,3756190,25:18
568,123,3764225,46:10.4
569,hwhjin,3774415,41:48.1
570,zaui,3776590,38:16.8
571,pikguygamerpro,3782590,29:45.1
572,MouseMice,3782975,33:07.7
573,VioletHero1760,3785570,23:01.6
574,TealZebra4111,3796840,31:47.1
575,Stizz13,3797200,35:09.1
576,DjJayGee,3800155,24:18.5
577,Neok,3801540,33:09.5
578,rockzolid,3810655,13:19.3
579,hoslow,3812690,37:32
580,Brrlin,3816415,27:41.4
581,c.4,3822705,21:18.6
582,amsterisk2,3825175,24:46.9
583,MathRoze,3828680,43:26.1
584,IsaacBluestone,3835860,26:35.6
585,Jelllybean,3844730,39:50.8
586,HighlyDangerV3,3848690,15:41.6
587,heinserburg,3853315,34:33.3
588,dmstanczyk,3856815,24:55.2
589,Flaedrian,3862585,23:34.4
590,fleischi2,3870760,36:26.9
591,saif13128,3877115,19:22
592,lumokr,3879090,36:04.3
593,X7Tatsumi,3879700,27:31.6
594,lordrudolf,3888035,38:00.8
595,Lilollady,3891520,22:38.6
596,Josh,3892045,44:10.7
597,Otorcedor,3903470,41:07.3
598,Just243,3914835,28:31.2
599,WEN_MONSTER,3916810,30:59.5
600,dd8687336,3917585,33:59.7
601,Cironex,3925385,32:14.1
602,BloonsMaster,3928655,23:43.9
603,van der waals,3931370,38:52.8
604,Devely,3936550,35:52.2
605,Meep,3938015,26:39.2
606,PurpleDolphin29,3941925,23:48
607,Alone,3941930,26:42.1
608,mommy milkers,3942015,37:18.4
609,Renegade89314,3948235,23:44.9
610,xiaohuanwizard,3948795,29:43.3
611,Lil sig figs,3953480,28:47.9
612,Retrogamer,3961650,27:39.8
613,chronicle,3962020,31:40.4
614,Blunathan,3962435,40:25.1
615,Olafvanbracht,3968755,45:00
616,baladaladingdo,3970320,28:32.4
617,MonkeyButlerJ8,3978640,35:27.9
618,Strongbad,3982070,32:48.6
619,narco,3988975,27:58.5
620,WarTec,3993175,24:53.9
621,wlloo00,3999040,23:36.7
622,Randy Latona,3999060,48:46.1
623,2245kx382,4000000,32:31.9
624,kanoon Djd,4008370,23:34.8
625,Kronus_qr,4011455,41:37.8
626,Purpleheman,4019955,40:00.8
627,yjdstcyjdstc,4021750,19:01.2
628,Icuo,4022215,36:05.3
629,RedonReturns,4027750,32:17.1
630,AbyssDefiant,4035510,31:57.9
631,dlpc,4037935,29:14
632,474776074,4044300,34:19.1
633,Iancj08,4045720,28:19.5
634,BananaLegend19,4048860,22:49.1
635,TifoRoyl,4050590,44:43.6
636,Thunder,4059390,30:21
637,Ballon Bambino,4060630,22:09.4
638,TopTower55864,4062817,46:27.1
639,Pot4to 68,4065475,38:26.7
640,AmberLeader800,4067740,34:21
641,ItsCrasher,4070625,27:37.6
642,Nungie,4074540,26:29
643,Casual_Player2,4075550,39:01.5
644,Antify_hei,4079875,43:06.4
645,Qbro,4082355,29:03.1
646,SuperKY,4086860,41:01.1
647,Homerjnick,4086900,39:46.4
648,Benjaminimum,4087880,31:50.4
649,necroneiter,4089850,23:08.4
650,madbasflava,4095625,39:56.6
651,harhmar,4097205,31:53.4
652,Btdaddiction66,4098780,26:57.4
653,Nolaks,4098870,26:27.4
654,Kirion,4100940,38:41.6
655,FabzGreenww,4102130,27:24.1
