Placement,Name,Score
823,Ueberking Nico,32,116:10.5
824,iiired,32,116:18.9
825,Missminimi,32,117:12.2
826,xd Jonno,32,118:35
827,SebasTheGamer12,32,120:00.9
828,Blastof,32,122:09.4
829,Dorian Gray,32,122:58.1
830,Lavi :3,32,125:45.4
831,blacksunseven7,32,126:44.2
832,DA_Really_BAD,32,130:14.4
833,john,32,135:24.5
834,Ninja Zyborg,32,183:48.4
835,Player,33,25:45
836,beastly123123,33,26:19.4
837,Paninies,33,26:42.1
838,Hopper,33,28:21.7
839,LithiumLegend,33,30:46.1
840,QOPPOQ,33,102:50
841,Carl,33,103:20.3
842,ZU Hasan,33,105:37.4
843,Multi,33,106:47.2
844,Glitchysharkxd,33,107:40.6
845,re na,33,108:08.7
846,Color-Variety,33,111:02.4
847,Danivodi,33,124:34.2
848,Striker,33,129:01.8
849,Th3 Fisherm4n,33,151:05.5
850,Tuquito,34,27:21.5
851,1BV,34,31:44.3
852,SirManuel,34,33:16.6
853,Ka4sBaas,34,33:48.3
854,Zaye,34,34:29.8
855,Carusel,34,73:49
856,Hydrolama,34,79:54.8
857,WillyDrake,34,98:15.1
858,DLUM,34,100:26.6
859,Aequinoktium,34,103:07.3
860,I_exist_123,34,104:22.2
