Placement,Name,Score
313,Ka4sBaas,287995,46:19.6
314,PeenToyota,288070,40:21.5
315,Fioryn,288570,59:08.4
316,D-Rock,288680,53:45.4
317,WaffleTime!,288815,46:10.5
318,Marc Neugebauer,288825,45:06.6
319,aardcat,289015,43:45.6
320,kubaaau,289030,57:03.1
321,H2,289205,38:46
322,jan.7,289720,54:04.6
323,Janky,290035,46:46.1
324,Smarty,291360,38:30.4
325,Bfizzy,291720,62:26.1
326,Calvin,291865,46:08.4
327,VioletHero4693,291995,43:03.2
328,R824,292620,54:44.6
329,GOLLUMBOI,292690,48:48.2
330,CaptainMarvelDC,292970,44:09
331,MichaelLalsangpuia,293885,48:40.8
332,XxNinjaBoy85xX,294275,51:53
333,EmmAndEmmz,294370,42:53.3
334,Fadingblitz,294720,58:35.6
335,EpicPlayBlueYT,294880,60:17
336,iceman,295005,54:15.6
337,Shuckle95,295195,51:47
338,Turtlemaxter24,295340,40:55
339,packrun,295780,45:01.4
340,Shaggy,295845,35:46
341,Viiv,295845,42:06
342,minicartar,296075,42:43.4
343,Mr.MieseZeiten,296185,49:31.4
344,jackwilkels28,296220,44:39.1
345,goodguyham,297565,49:13
346,Liam,297750,47:14.4
347,uwu donkus,298545,44:43.6
348,FraiseTagada,298690,51:19.1
349,Blastof,298755,57:43.5
350,MonkeyWizard71,298990,43:36.9
351,Coco,299175,45:12.8
352,Radiieschen,299190,60:15.4
353,Blu,299685,51:21.2
354,Dragonboy,299740,42:04.1
355,Yutub,299850,61:40.8
356,gugu,300125,35:24.8
357,Annco,300168,47:02.8
358,Magickjuan,300175,49:50.6
359,Douga,301370,54:38
360,Kelpo cereal,302150,45:49.7
361,Me,302430,46:23.2
362,dthemonkeygod,303675,62:46.5
363,Aethera,303695,55:57.2
364,Oreo,303765,59:27
365,Nighti,303960,50:23.5
366,YT-FynnEbsen,304640,51:04.8
367,Solis,304675,38:37.9
368,Kimmie,305435,54:12.3
369,-ELY-,305775,40:11.4
370,Elysium,306215,38:03.1
371,Rafael,306395,43:14.3
372,SpamK,306450,72:01.4
373,Galster,306755,38:57.1
374,Luna,307175,25:15.1
375,deadYui,307570,65:06.1
376,Quentin Sempe,308600,62:45.5
377,Angelina,309015,44:18.6
378,JKL,309015,55:17.8
379,Dragoon,309420,60:18.3
380,Spawry,309670,48:44
381,TopWizard7276,309860,39:49.8
382,Oodie,310260,37:12.1
383,Bluesh,310870,32:52.8
384,Ethereal,311500,52:45.1
385,Wasta,311875,41:28.8
386,Nutnon Nathanon,312320,39:44.1
387,Player607785,313400,46:33.5
388,Gover,313470,48:27.7
389,Pivas,314370,66:06.3
390,Ultima66,314890,39:29.2
391,Realityjoust,314930,61:22.9
392,Rock Juice,315625,42:23.8
393,Daniel2298026,316800,47:43.6
394,PurpleDolphin13,317720,44:38
395,Kuta,317750,42:08.1
396,Nub,317860,43:23.2
397,kali,318165,59:00.2
398,Frost1901,318480,46:39
399,Ariq123,318615,38:57
400,UncleNoPockets,318655,51:37.8
401,Randy Latona,319318,47:08.5
402,Traveller2826,319850,55:06
403,............,320995,51:02.1
404,tAdPole,321160,49:59.1
405,KizagiVevo,321830,52:32.4
406,lyonbier5,322495,62:04.2
407,Xerpy,323130,48:51.2
408,mdeschu,324745,39:48.3
409,TheGoogio,326855,52:20.1
410,Failure,326940,39:48
411,X-ray hero,326965,33:15.2
412,rysace,329080,50:07.9
413,asdq495,329225,30:28
414,Cuuf,330310,34:50.8
415,5hrknjtsu Mstr,331045,34:31.8
416,JWill18,332010,48:15.2
417,bill123$$$$$,332635,39:01
418,ContrA,334575,40:58.2
419,limand33,335180,48:05.1
420,Secno,335325,40:52.3
421,Amea,335990,32:31.8
422,MULL4C,336470,43:42.2
423,GigaChad,336690,42:01.9
424,Player,337265,37:25.6
425,Chayfilay,339075,56:27.3
426,LIN001,339175,41:49.2
427,ZU Hasan,339390,41:13.7
428,Jadhen_15,339400,29:54.6
429,JonnyRoestbak,339655,35:12.4
430,Ding Chilling,340000,28:18.6
431,pikguygamerpro,340950,34:33.1
432,NicoYeet,341720,36:55
433,SlenderP,341780,30:07.7
434,SirDodo1887,342020,54:01.4
435,Player,344465,40:48.2
436,Snorrb,344645,35:23.7
437,Patkall,345500,30:38.8
438,WindHover,345610,38:22.2
439,CreepLailai,345685,39:57.8
440,Alexda Pug,348185,43:13.3
441,lawsonke1,348210,59:08.8
442,3062283445,348645,43:34.9
443,GpBAN,349635,34:02.1
444,Hearty Popper,350145,45:43.3
445,Flzrian,351430,57:08.4
446,Mistermin,351490,59:02.8
447,Aequinoktium,353605,30:21.1
448,pllan,353675,49:04.9
449,GD,354500,44:03.3
450,CircoDavidAB__,354505,30:34.9
451,Dogz R Godz,354780,61:33.3
452,Lucky Sheep 646,355915,30:47
453,JustMatMat,358015,32:45.3
454,ReWolverine,359143,37:22
455,Random3226,359835,40:23.2
456,Yimyum,362770,31:13.9
457,Tacosalad,363635,40:45.9
458,Henry,363960,36:35.8
459,Pixelz,364655,38:27.5
460,ZandWish,365470,47:56.9
461,A_Penguin,367025,48:55.5
462,Slick,367085,40:42.4
463,BonzaiTheHost,367440,62:23
464,1565230107,369160,34:31.2
465,ValiantBadger17,369380,52:10.2
466,_AUT15MO,371660,54:17.7
467,1BV,371785,38:00.3
468,Nidhran,372310,30:00.9
469,<elves>,372470,33:31.7
470,Tebodran,372515,46:17.7
471,4LoMi,372960,41:15.5
472,Goldenboy2287,374960,35:14.5
473,Matimele,375410,29:09
474,Patty Cake,375810,26:21
475,Ape,378125,34:43
476,ProwriterX1,378515,50:05.5
477,Smoldering Seal,378975,53:34.9
478,MrPointFifty,379830,36:48.7
479,Me,381845,51:15.4
480,Maciej,383880,53:35.3
481,Goldnuggets100,384945,30:03.2
482,lanabananarama,387335,28:44.2
483,dcronin4,387630,50:06.4
484,Trix,387665,33:01.6
485,kseees,387980,36:00.1
486,bloonluvr,388090,31:16.2
487,Player,388735,43:04.8
488,ChadGamer33,389085,46:38.4
489,9999os9999,389510,39:59.4
490,Ray1999,390805,34:41.9
