Placement,Name,Score
257,Zero Two,121910,58:42.9
258,Deatharmy102,122355,28:26.3
259,StarlordGuyMan,122365,30:19.7
260,majorstudconan,122380,56:38.9
261,Super C,122400,29:26
262,PSI,122405,27:58.7
263,masmaves,122485,34:05.4
264,NinjaAce56121,122535,29:06.3
265,TTsWars.URL,122535,32:02.1
266,Christoph,122605,28:47.5
267,Zerozire,122620,30:15
268,MonkeyAce58486,122730,29:22
269,niels,123020,30:23.9
270,Huka74,123035,27:08.3
271,yakgoesbaroo,123100,24:54.5
272,Solar,123115,37:26.2
273,Travis47,123170,32:55.4
274,Recruit,123225,45:57.7
275,ro4564,123450,25:23.6
276,TeodorJ,123875,41:25.6
277,Ark Prime,123915,53:40.1
278,AmberLeader198,123985,31:12
279,Ninja monkey,124065,30:18.8
280,PapiWood,124085,28:37
281,Pacific,124130,40:40.5
282,Springduck,124245,27:39.9
283,RandomRain,124280,32:40.6
284,Westvirginia,124470,27:53.6
285,Guz00,124535,28:50.2
286,Jolli Lolli,124585,47:20.3
287,Failure,124825,49:57.8
288,TheKingOfAllV2,124855,30:16.1
289,Linkin,124940,29:31.2
290,Manisdor,124960,27:10.5
291,Drew,125005,37:27.6
292,Redfoxyboi,125010,28:23.3
293,akonRiis,125055,25:47.5
294,Eltaz,125065,39:49.3
295,ILoveMen,125215,28:03.4
296,Mister_Weaboo,125290,32:50.2
297,+ Noodles 02 +,125590,55:50.2
298,Lickay,125625,38:23.7
299,FlixelKlicker,125675,28:54.9
300,Player,126000,38:11.4
301,Ambr0,126375,25:51
302,locus17,126425,42:12.4
303,AC11,126465,41:50.6
304,NotSure,126500,30:02.9
305,Somnolence,126600,31:10.5
306,Ability,126740,29:35.8
307,EloyLuna,126775,27:24.3
308,balbo,126875,30:39.9
309,Babo,126900,30:28.2
310,schmusekroko,126985,27:01.9
311,lukas_pukkas,127065,30:55.6
312,Banana,127160,38:57.6
313,Gonztuzgvo,127220,42:17.7
314,Cal5,127285,26:54.1
315,ValiantBadger27,127384,43:36.1
316,YTSEJAM,127460,26:39
317,XenoBlivion,127480,39:40
318,TheMonkeyKing,127615,38:45.2
319,Dabloon,127755,34:17.4
320,Moin1010,127910,31:16.3
321,oKampuss,127975,30:17.4
322,Dhuunta,128035,54:08.3
323,Ningasebu,128065,56:15.1
324,CSLA1998,128210,37:49.3
325,xrlylyl,128235,47:31.5
326,Yimyum,128305,26:35
327,Rheaneas,128345,33:54.6
328,Phil_146,128620,31:13
329,Ramis,128660,22:32.3
330,TheKing11199882,128785,30:34.4
331,Die_nuss3000,128945,31:13.8
332,TIMO,129005,37:30.4
333,Kai187439,129055,30:45.2
334,waner,129145,38:43.5
335,Klefki98,129155,32:22.3
336,matan,129395,30:18.9
337,0uel1lw3,129425,39:19.7
338,Shazza,129460,25:31.9
339,KiligRose,129505,36:00.1
340,wah,129675,36:54.4
341,schuschi,129755,22:59.8
342,JALSG,129800,36:35.8
343,BrightGiraffe11,129935,37:22.3
344,ThaEmprahh,129935,38:38.8
345,Marco,129945,41:03.1
346,FlyingNick,129955,39:03.9
347,Smashcake,129975,43:40.4
348,FeedMeNachos,129985,29:20.2
349,Lopertyup,130000,54:44.5
350,Extr3m3,130200,44:34.2
351,J3SUS,130455,39:42.9
352,When City,130680,20:26.9
353,Im a cat,130695,39:31.2
354,Pavel_Bure,130795,39:31.2
355,swedishchess11,130820,40:35.6
356,80sthrash,130910,25:10.6
357,AHardyLopunny,131015,32:25.5
358,TH-714,131060,30:38.7
359,IAmMenkey,131060,40:57.5
360,KingZHK,131195,29:13.8
361,TheBADplayer,131250,38:12.1
362,PurpleCarrot,131250,44:16.9
363,the panda,131270,28:56.8
364,MrPlasma,131385,23:14.5
365,Kusinaata,131415,26:09.8
366,Rafa_50,131495,53:08.8
367,Septher123456,131525,24:25.3
368,Valen,131550,30:26.3
369,weenoo,131565,44:31.5
370,lanabananarama,131650,39:05
371,2632490895,131725,38:11.6
372,Player2131634,131770,23:29
373,NKinsella1,132050,28:06.4
374,Reasons why,132070,38:31.2
375,BloonTooter,132080,41:52.8
376,TopPhoenix5606,132190,30:01.8
377,Scholiver,132275,27:19.5
378,Klebaffe,132275,29:27.8
379,Max,132275,30:16
380,Player,132275,30:34.6
381,Ice.Monke,132285,29:36.7
382,Krisma,132286,29:54.6
383,schnibb,132290,27:58.9
384,Winkelco3k,132310,27:43.2
385,Player1985775,132310,28:46.4
386,Bacon,132360,30:05.3
387,Golldrac,132360,30:48.8
388,Pat,132365,31:15.7
389,Hug65,132395,28:59.8
390,HAN JUNEHEE,132395,29:15.2
391,MugiTheCat,132400,41:01.5
392,Schiebar,132410,29:02.5
393,Nighti,132450,28:54.8
394,SuperAce0126,132455,30:08.7
395,Mike O'Hearn,132480,29:25
396,Hey,132530,30:21.6
397,WOR Z050 LAK,132535,29:25.2
398,Megalodon,132546,30:03.8
399,Yoniator25,132580,32:06
400,GamersToyBox,132610,29:20.4
401,chocbox,132610,30:24.6
402,animal,132730,22:44.6
403,Snorrb,132800,31:55.8
404,Evergarden,132815,40:26.5
405,GAME OVER,132820,30:59.2
406,Hearty Popper,132855,31:59.6
407,Seboyia,132950,35:48
408,Rexie,132980,21:27.6
409,MonkeyPhoenix5,133165,42:20.4
410,Bocchi,133180,15:26
411,ThatGamer_Guy,133320,56:58.5
412,SiHam,133360,40:43.3
413,AmazingLiev,133425,29:06.8
414,bicker,133440,56:29.4
415,Player,133485,30:19.4
416,mizon yala,133580,33:57.8
417,Banzai,133661,57:03.4
418,wixxer,133890,29:14.4
419,Mai Teireida<3,133900,24:38.4
420,Trychnos,133925,42:07.3
421,UshigushiZero,133965,29:36.5
422,Devasto,134185,31:52.1
423,Nexus1725,134230,31:55
424,wclei,134245,40:04
425,SrP SusyDuki,134245,42:48.8
426,Cyber_Monkey,134425,55:30.8
427,TecRider,134570,29:34.8
428,YjinTB,134620,37:16.1
429,Tur1n9,134860,42:57
430,uvclive,134905,26:57.2
431,4LoMi,134940,42:40.3
432,KirbyTeaParty,134980,38:14
433,CraZyComManDer,135105,41:26
434,Storm,135140,40:10.1
435,BTD Express,135145,62:57.1
436,timefords,135275,56:27.1
437,Tallterror,135385,39:55.5
438,Price,135580,44:24.5
439,yammer,136125,29:25.5
440,HappyBeetles,136375,36:33.6
441,Moench,136435,28:55.8
442,Ninjy,136640,26:52.1
443,Accelerator,136795,61:23.4
444,CardsChris,136845,35:51.5
445,killjoy beanie,136885,40:07.4
446,iiired,136895,42:01.9
447,sirturxtle,137150,47:05.8
448,Filip7,137215,23:53
449,Flo28 :),137320,28:16.6
450,Gus,137345,22:27
451,AidenTheKitsune,137480,29:56.2
452,McMahon,137960,26:15
453,DecentXav,138075,28:00.9
454,huyen,138080,21:39.1
455,Syndrome,138100,21:39.2
456,Domingus Boomr,138200,33:09.6
457,JeffFusional,138230,35:45.6
458,Ka4sBaas,138255,30:50.1
459,PeenToyota,138400,29:47
460,txcrn,138410,30:57.4
461,MisterCofla,138585,36:56
462,Player7369159,138660,25:54.7
463,WILLDENPLAYS,138660,34:13
464,ElHollows,138670,26:19.9
465,Lethal,138685,29:34.3
466,Felix Jarck,138710,29:27.4
467,mdeschu,138950,30:30.5
468,Rain,139150,31:38.2
469,HooKnows,139150,33:18.4
470,OatsFX,139235,33:27.6
471,Sushman,139245,30:47.7
472,ArcheKnight,139301,25:41.2
473,Benjaminimum,139375,43:21.8
474,Lava,139475,31:44.6
475,MasterDane69,139515,43:01.7
476,Pizzameneertje,139525,38:59.3
477,Epic_,139625,27:51.9
478,Eclipze,139730,24:30.3
479,stylie,139805,61:00.9
480,CornFL4Ke,139875,38:21
481,Ama-Fridgepad,139920,27:48.8
482,1111111111,139985,26:06.3
483,Big Pirate,139990,28:01.7
484,Marmis,139990,30:54.3
485,Dpacman,140255,46:13.3
486,GiitheFool,140350,31:39
487,Asalikith,140390,28:01.6
488,Douga,140520,43:00.9
489,PopWizard18630,140550,30:51
490,CJ Bert,140570,41:45
491,123,140635,28:35
492,Jsame,140645,29:53.7
493,447823331,140660,41:55.4
494,kitrock88,140665,40:57.2
495,AAAAAAAAA7248,140725,31:10.2
496,JigSaw_920,140785,26:53.8
497,oGuelerme,140810,24:46.8
498,NoxyhFyun,141110,33:03.2
499,alvinokp,141166,40:25.9
500,holy lizard,141240,31:32.5
501,dellla,141700,45:00.2
502,DpF 33,141830,37:49.7
503,Venatus,142055,55:33.7
504,Carb :o,142455,38:07.3
505,Shawn,142555,38:21.2
506,Doomorg,142750,26:06.4
507,Darian,142770,27:25.3
508,Andtea,142810,27:18.5
509,Hash Brown,142840,27:50.2
510,U a towel,143340,32:09.3
511,Dragonboy,143395,25:12.5
512,Player,143505,39:31.8
513,JakeDogEars,143590,29:59.9
514,Googanu,143635,26:24.5
515,Joe mama,143635,26:48.3
516,Dracula,143635,28:33.7
517,Kabal,143645,27:56.8
518,alamit164,143650,28:00.2
519,Player,143760,27:16.4
520,PeasantZilla,143805,14:45.3
521,Zwel,143810,29:22.4
522,vh,143816,28:30.8
523,Ballon Bambino,143855,28:36.5
524,Randy Latona,143910,38:10.2
525,Forest_lord,143980,28:46.9
526,amikoj,143990,27:52.8
527,YT: PRO BTD,144035,28:11.8
528,Darth Plagueis,144050,29:55
529,VanBummel,144170,27:06.8
530,seaturtle2369,144260,26:01.1
531,osteole,144270,25:51.4
532,MagicDusty,144385,29:45.5
533,Diamond,144425,26:12.8
534,Lukas Zaromskis,144485,36:07.2
535,monke,144515,43:32.8
536,Zachmen,144541,27:27.8
537,EpicStar123,144585,32:14.3
538,Rafael,144620,24:40.2
539,God_fishy,144665,28:12.5
540,AverageGrinder,144715,38:54.8
541,Koning Bart,144735,28:37.6
542,SkuchaYT,144745,40:07.2
543,Eerie,144940,27:03.3
544,Stowty,145010,27:53.6
545,joaco-ferraro23,145170,34:58
546,LtChaos18,145266,27:55.6
547,Blue_Destroyer,145365,39:24.5
548,Chuck,145395,30:54.3
549,Arnister,145600,27:27.5
550,Scuba Doo,145945,25:13.8
551,Redrage,146050,48:12.5
552,DanilEmanuel,146100,28:27.6
553,LXIX,146135,27:51.5
554,KiwiAce0402,146235,46:17.7
555,L A V I N,146300,29:38.5
556,Fortniteburger,146465,27:00
557,Player,146635,31:18.3
558,Pockcheese,146715,54:12.5
559,Skye,147340,46:34.2
560,Lucia,147365,32:44.1
561,JDubYeet,147385,41:46.3
562,Epow,147675,27:44.9
563,Bolt,148135,43:03.3
564,Blobz,148145,28:18
565,Player319643,148390,28:09.7
566,KizagiVevo,148565,38:19.4
567,WWWWWWWWWWWWWW,148645,28:57.8
568,MoNsTeR,148676,28:18.7
569,Ruslan,148810,30:39.7
570,_aaaa_27,149015,34:03.9
571,Ampy,149080,30:07.7
572,giuliovhr,149220,28:16.4
573,Foggybubble,149225,29:37.9
574,c0ntext,149360,44:13.5
575,Catstone,149385,26:23.8
576,Yoni_BTDBR,149510,25:39.6
577,Jord4nk,149565,26:50.3
578,Dejan2212,149580,29:11
579,matixo,149610,29:26.3
580,Player,149640,25:10.7
581,Player7116891,149685,39:13.6
582,Chayfilay,149755,37:34.5
583,Harshad,149885,24:29.1
584,Mujica,149950,38:05.7
585,Robotic Kittens,150005,54:46.5
586,Dahakar,150080,38:25.2
587,Argo,150550,43:39.8
588,Player,150570,27:47.2
589,Louis,150575,26:05.2
590,InfinityPower,150880,31:37.5
591,Six10muu,150965,21:56.8
592,Illouminant,151075,27:14.3
593,Firebird,151465,32:35.4
594,Speedyconcali0,151485,27:05.6
595,Ahmed Benamara,151545,28:46.4
596,ReWolverine,151720,26:24.5
597,StarWars1crazy,151900,45:45.5
598,Pyro,152715,29:13.4
599,MajesticGull,152760,20:16.7
600,ThursREE,153010,29:28.3
601,Alpha Ir,153120,44:24.4
602,poopdoctor,153155,43:45.5
603,Tschaksy,153360,16:42
604,WolfJumper16,153380,27:38
605,z3ly7,153865,34:42.8
606,Kuta,153890,48:16.2
607,thomasyu2,153925,26:32.2
608,Aragorn,153980,33:46.2
609,MyKoStick,154550,32:18.4
610,Gouchnox,154555,34:37
611,ClickbaitGod88,154585,28:02.3
612,BeaverTDS,154585,55:50.3
613,Player3723172,154640,27:16.8
614,Zepodes4568,154675,28:34.1
615,FraiseTagada,154990,36:03.2
616,Loveless,155020,27:47.7
617,ANDREW CHAN,155140,28:39
618,Jamie,155275,40:34.4
619,Kirk Hammett,155500,26:05.4
620,xFores :),155610,37:44.7
621,jackwilkels28,155905,27:27.6
622,FieryColonel143,155955,32:07
623,big brain,156030,41:00.8
624,MonkeyHero4215,156070,32:01.7
625,Nice torch ;),156215,27:14.4
626,Frost,156380,36:43.4
627,RoboticOwl40,156400,30:32.9
628,qouesm,156465,31:39.9
629,Dougie Bomb,156770,37:09.6
630,yungyazimoto,156960,24:21.7
631,asdq495,157135,27:42.6
632,L0nd0n2017,157140,24:20.2
633,Neptune1,157235,26:37.2
634,Dark Raven,157660,26:41.4
635,Josardo,157815,31:43.7
636,ErtokWiking,157920,41:40
637,Player,157975,55:17
638,Slayer,158560,37:06.3
639,Big Chungus,158935,41:42.6
640,rev_dude,159220,31:19
641,Marc Neugebauer,159225,29:34.6
642,Befy,159250,34:20.9
643,aWildAviar,159330,29:57.9
644,Ugmania!,159380,27:16.8
645,DuelKingdom,159385,33:51.6
646,treeboy-mods,159405,30:07.3
647,Jcooldude15,159435,38:33.5
648,(Katabu),159655,40:29.5
649,Dark Sun,159665,29:46.6
650,YEPC8CKALTALT,159830,28:45.1
651,Ratsu,160305,29:51.5
652,Barlu,160611,29:14.6
653,MAVROS VILLOS,160870,38:10.5
654,PeachPanda3841,160890,29:21.9
655,Elias,160935,32:39.1
656,Mawo,160955,42:36.7
657,Shambo14,161000,33:32.1
658,Gattocione,161040,44:54.7
659,FreeOracle4992,161250,44:12
660,OddMod13,161255,27:41.5
661,pazisob,161470,27:25.4
662,mausliebscher,161470,31:36.9
663,ThePowerTower,161500,60:35.4
664,Bloonah,161630,29:22.4
665,Valko,162180,28:48.8
666,fattyboomstic,162295,29:36.5
667,MONKE,162300,26:48.8
668,--Crosser--,162540,37:39.7
669,Player897293,162675,42:37.7
670,PurpleDolphin29,162755,35:27
671,Marouf :),162830,49:00.9
672,Talis,162840,41:40.2
673,gold_flakes1,163050,30:20.2
674,P4yin,163110,25:53.1
675,Samonstera,163130,42:57.8
676,N0rb3r7,163520,41:05.4
677,Trudi,163793,35:50.1
